A	-0.17691335 -0.19057421 0.045527875 -0.175985 1.1090639 -0.5358132 -0.58720386 -0.64967376 0.6362214 0.053294033 0.05443605 0.5420339
C	-0.31572455 0.38517416 0.17325026 0.3164464 1.1512344 -0.498811 -0.6147 -0.7275313 0.53844213 -0.4170406 -0.010684984 0.4326044
B	0.037789278 -0.1989614 -0.844488 -0.8851388 0.57501 0.09804803 0.4021615 0.23779702 0.1430343 -0.80736315 0.16224885 -0.501433
E	-0.06940994 -0.34011552 -0.17767446 0.251 1.0661993 -0.67432016 -0.31828412 -0.76466596 0.7047104 -0.16999283 -0.06718787 0.17951806
D	0.00600859 -0.1902303 -0.049640052 0.15067418 1.0812483 -0.65239257 -0.41924623 -0.72718585 0.7098188 -0.05128857 -0.050907355 0.24726672
G	-0.07281224 0.01804472 0.22983849 -0.045492448 1.1139168 -0.5301182 -0.54689586 -0.7012578 0.58806705 0.10839125 -0.019834379 0.45506018
F	0.2315121 -0.01626652 0.25592703 0.2703909 1.0793934 -0.549146 -0.39556122 -0.8179958 0.52049863 0.14438128 -0.17313996 0.1988656
I	0.15077977 -0.1881559 0.33855876 0.39121667 1.0793937 -0.4852859 -0.19118862 -0.8338296 0.40316758 0.12585536 -0.2672976 0.12772803
H	0.019046513 -0.023256639 -0.06749539 0.16737276 1.0796973 -0.61196333 -0.49366903 -0.7318915 0.657561 -0.16088933 -0.058213145 0.28380302
K	0.22048187 -0.34703028 0.20346786 0.65077996 1.0620389 -0.55149657 -0.027685735 -0.85432845 0.46657294 -0.024860263 -0.2940349 -0.06319477
J	0.06847394 0.015362699 -0.7120714 -1.054779 0.49967504 0.16151053 0.62944317 0.24586381 -0.010078112 -0.5453857 -0.016475474 -0.5814645
M	0.06302169 -0.10206237 0.18976009 0.115588315 1.0927621 -0.526876 -0.41989842 -0.7306472 0.56317556 0.07056641 -0.09104714 0.34038082
L	0.0075188675 -0.17002057 0.08902198 0.066686414 1.0804346 -0.5884766 -0.46071497 -0.7564542 0.612025 0.06554815 -0.097484075 0.28840503
O	-0.042549122 0.11453196 0.3218399 -0.96280265 0.42855614 0.030589981 -0.09014478 0.34236148 0.032648414 -0.18469298 0.31888133 -0.29899693
N	0.41597384 -0.22671205 0.31179032 0.45883527 1.0529875 -0.5807282 -0.12363393 -0.8801461 0.49545166 0.22429276 -0.29835668 -0.018828064
Q	0.25189143 -0.40238172 -0.046555642 0.22140719 1.0362468 -0.64309245 -0.28798434 -0.756034 0.6627253 0.12933147 -0.12821539 0.14756446
P	0.017954966 -0.09864355 0.028460773 -0.12924117 1.0974121 -0.60779107 -0.5670918 -0.6846378 0.6937873 0.07832412 0.002448076 0.41261178
S	0.17177454 -0.16769698 0.27776834 0.10357749 1.0800852 -0.56360304 -0.3688655 -0.7829371 0.568005 0.25281623 -0.14054264 0.22889322
R	-0.15621762 -0.19172126 -0.209409 0.026799612 1.0879921 -0.6614241 -0.5230489 -0.70454484 0.7340604 -0.15179724 0.03922819 0.38029388
U	0.00069698587 -0.40677646 0.045045465 0.875985 0.93636376 -0.6859525 0.08141684 -0.20158081 1.0254254 -0.36871758 0.3154688 -0.57735527
T	0.054446213 -0.16771607 0.22424258 -0.01337227 1.0967118 -0.5636666 -0.4594387 -0.72038704 0.6003779 0.20627703 -0.059780907 0.3561037
W	0.25281385 0.12420933 0.0132171605 0.09199735 1.0842415 -0.6665271 -0.5838052 -0.79495794 0.70502156 0.08423879 -0.0667464 0.25558472
V	-0.09511698 -0.11654304 0.1440215 -0.0022315443 1.1064949 -0.5490963 -0.5062943 -0.69833577 0.61637014 0.070822984 -0.0309816 0.41804433
Y	0.27962074 -0.051454283 0.114876375 0.3550331 1.0615551 -0.6130092 -0.34607354 -0.83043885 0.5999939 0.06552791 -0.17564318 0.11186696
X	0.5566999 -2.5784554 -4.580289 -0.46196952 1.4881511 -1.894335 0.74057 -0.61393535 2.2776291 -0.26904404 0.045708362 -0.74427193
Z	-0.020066334 -0.116254225 -0.69591016 -1.2875729 0.6376922 0.04450246 0.38823903 0.24393599 -0.34015596 -0.62008095 0.4340456 -0.83394027
